tag,barcode_group,total_seqs,total_unique_seqs,total_failed_seqs,total_AA_mutations,unique_AA_mutations,mean_AA_mutations_per_seq,median_AA_mutations_per_seq,total_NT_mutations,unique_NT_mutations,mean_NT_mutations_per_base,mean_NT_mutations_per_seq,median_NT_mutations_per_seq,total_transversions,total_transitions,unique_transversions,unique_transitions,total_insertion_length,total_deletion_length,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G,A->T_unique,A->G_unique,A->C_unique,T->A_unique,T->G_unique,T->C_unique,G->A_unique,G->T_unique,G->C_unique,C->A_unique,C->T_unique,C->G_unique
DE5,594B-g0,71,71,0,,,,,914.0,413.0,0.0068584121,12.87,11,306.0,608.0,135.0,278.0,74,1894,38.0,89.0,12.0,17.0,145.0,50.0,136.0,29.0,3.0,55.0,333.0,7.0,27.0,49.0,6.0,17.0,36.0,41.0,83.0,24.0,3.0,16.0,105.0,6.0
DE5,594B-g128,621,620,0,,,,,22934.0,2774.0,0.0196754165,36.93,37,3661.0,19273.0,1114.0,1660.0,3383,22382,1405.0,3361.0,204.0,395.0,60.0,2520.0,5407.0,824.0,208.0,254.0,7985.0,311.0,311.0,529.0,87.0,194.0,43.0,480.0,310.0,163.0,88.0,94.0,341.0,134.0
DE5,594B-g40,296,296,0,,,,,6389.0,1570.0,0.0114994456,21.58,21,1411.0,4978.0,514.0,1056.0,790,8100,294.0,772.0,48.0,99.0,519.0,598.0,1458.0,203.0,39.0,133.0,2150.0,76.0,145.0,312.0,32.0,68.0,57.0,239.0,233.0,93.0,27.0,40.0,272.0,52.0
DE5,594B-g80,346,346,0,,,,,9493.0,2027.0,0.0146171637,27.44,27,1457.0,8036.0,688.0,1339.0,1406,12654,536.0,1326.0,65.0,177.0,37.0,964.0,2332.0,328.0,73.0,131.0,3414.0,110.0,209.0,408.0,43.0,122.0,32.0,350.0,277.0,106.0,46.0,64.0,304.0,66.0
DE5,594C-g0,257,253,0,,,,,1080.0,395.0,0.002238857,4.2,4,215.0,865.0,45.0,350.0,49,7356,2.0,234.0,1.0,0.0,117.0,140.0,106.0,81.0,4.0,6.0,385.0,4.0,2.0,161.0,1.0,0.0,28.0,110.0,33.0,4.0,3.0,3.0,46.0,4.0
DE5,594C-g128,1038,1037,0,,,,,14687.0,1679.0,0.0075382662,14.15,14,1480.0,13207.0,257.0,1422.0,606,31839,82.0,5923.0,5.0,22.0,325.0,3395.0,1110.0,840.0,66.0,38.0,2779.0,102.0,44.0,552.0,4.0,19.0,39.0,493.0,159.0,27.0,39.0,18.0,218.0,67.0
DE5,594C-g40,603,602,0,,,,,4830.0,1166.0,0.0042674215,8.01,7,1023.0,3807.0,110.0,1056.0,182,17478,13.0,1460.0,5.0,3.0,557.0,841.0,381.0,390.0,14.0,20.0,1125.0,21.0,12.0,475.0,4.0,3.0,40.0,347.0,83.0,13.0,9.0,11.0,151.0,18.0
DE5,594C-g80,197,197,0,,,,,1938.0,820.0,0.00524111,9.84,10,177.0,1761.0,38.0,782.0,74,7011,11.0,715.0,0.0,0.0,4.0,446.0,159.0,139.0,7.0,4.0,441.0,12.0,10.0,356.0,0.0,0.0,1.0,260.0,60.0,8.0,5.0,3.0,106.0,11.0
DE5,594D-g0,71,71,0,,,,,976.0,440.0,0.0073236435,13.75,12,253.0,723.0,130.0,310.0,125,2075,42.0,69.0,2.0,12.0,111.0,80.0,199.0,20.0,4.0,29.0,375.0,33.0,35.0,50.0,2.0,12.0,30.0,58.0,76.0,20.0,3.0,11.0,126.0,17.0
DE5,594D-g128,539,539,0,,,,,22520.0,2886.0,0.0222594971,41.78,42,4483.0,18037.0,1229.0,1657.0,3950,19295,1217.0,2728.0,237.0,603.0,95.0,2251.0,4589.0,919.0,289.0,704.0,8469.0,419.0,342.0,525.0,88.0,209.0,68.0,469.0,324.0,180.0,91.0,113.0,339.0,138.0
DE5,594D-g80,376,376,0,,,,,11187.0,2438.0,0.0158511772,29.75,29,2172.0,9015.0,934.0,1504.0,1899,13981,532.0,1280.0,70.0,302.0,92.0,1031.0,2378.0,428.0,101.0,441.0,4326.0,206.0,258.0,449.0,55.0,156.0,61.0,419.0,307.0,155.0,64.0,85.0,329.0,100.0
DE5,595A-g0,171,171,0,,,,,2063.0,768.0,0.006427452,12.06,11,656.0,1407.0,255.0,513.0,218,4653,70.0,186.0,9.0,33.0,277.0,197.0,341.0,138.0,9.0,50.0,683.0,70.0,47.0,120.0,9.0,31.0,56.0,82.0,138.0,56.0,6.0,29.0,173.0,21.0
DE5,595B-g0,275,275,0,,,,,3559.0,1022.0,0.0068949484,12.94,12,847.0,2712.0,332.0,690.0,523,7436,120.0,511.0,20.0,40.0,463.0,385.0,662.0,103.0,24.0,36.0,1154.0,41.0,82.0,163.0,17.0,37.0,50.0,140.0,187.0,72.0,20.0,27.0,200.0,27.0
DE5,595B-g128,361,361,0,,,,,14042.0,2361.0,0.0207232322,38.9,39,2439.0,11603.0,858.0,1503.0,2218,13592,831.0,2049.0,71.0,376.0,66.0,1480.0,3103.0,601.0,130.0,203.0,4971.0,161.0,243.0,463.0,55.0,145.0,26.0,413.0,297.0,154.0,75.0,72.0,330.0,88.0
DE5,595B-g40,396,396,0,,,,,9999.0,2087.0,0.0134523175,25.25,23,3044.0,6955.0,773.0,1314.0,1211,8989,399.0,1280.0,42.0,175.0,1864.0,835.0,1869.0,290.0,50.0,128.0,2971.0,96.0,216.0,403.0,38.0,122.0,79.0,334.0,275.0,125.0,40.0,75.0,302.0,78.0
DE5,595B-g80,279,279,0,,,,,7921.0,2023.0,0.0151255626,28.39,28,1226.0,6695.0,693.0,1330.0,1180,10256,393.0,1189.0,46.0,182.0,42.0,904.0,1748.0,293.0,58.0,107.0,2854.0,105.0,207.0,381.0,43.0,125.0,35.0,362.0,278.0,112.0,45.0,52.0,309.0,74.0
DE5,595C-g0,34,34,0,,,,,415.0,238.0,0.0065028675,12.21,11,109.0,306.0,66.0,172.0,34,898,17.0,73.0,2.0,10.0,58.0,24.0,66.0,11.0,1.0,6.0,143.0,4.0,16.0,44.0,2.0,9.0,18.0,19.0,46.0,10.0,1.0,6.0,63.0,4.0
DE5,595C-g128,415,415,0,,,,,16691.0,2469.0,0.0214274252,40.22,40,2745.0,13946.0,927.0,1542.0,2354,14639,1060.0,2394.0,104.0,420.0,56.0,1833.0,3334.0,436.0,144.0,304.0,6385.0,221.0,273.0,483.0,59.0,163.0,42.0,424.0,301.0,135.0,72.0,74.0,334.0,109.0
DE5,595C-g40,401,401,0,,,,,8213.0,2083.0,0.0109117191,20.48,19,1889.0,6324.0,748.0,1335.0,837,11493,360.0,1074.0,65.0,187.0,693.0,729.0,1447.0,287.0,75.0,114.0,3074.0,108.0,203.0,402.0,53.0,124.0,62.0,354.0,277.0,124.0,53.0,52.0,302.0,77.0
DE5,595C-g80,232,232,0,,,,,6603.0,1921.0,0.0151631363,28.46,28,1080.0,5523.0,643.0,1278.0,769,8127,360.0,908.0,62.0,179.0,26.0,759.0,1350.0,197.0,69.0,104.0,2506.0,83.0,202.0,361.0,48.0,106.0,26.0,347.0,265.0,102.0,42.0,50.0,305.0,67.0
